"id","beheerde","naam","afstand_","beschrij","beugels","boomplaa","boomsoor","boomspie","conditie","klasseri","conditie_1","doodhout","drainage","eindbeel","groeifas","grondsch","hekken","hoogte","kroonbeg","kroondia","markant_","nauwkeur","nesten","niveau","onderhou","opmerkin","opnameda","takvrije","paaltjes","plakokse","plantdat","scheefst","schurend","soort_zw","stamomtr","stamopsl","takschad","topsterf","vrije_do","waterlot","wortelop","wortelop_1","werkzaam","ziektes_","beschrij_1","zwammen","fauna","optillin","grootte_","beperkte","adventie","te_slank","verdikki","reactieg","afwijken","uitzakke","holte","rot","flessenh","verdikki_1","vezelkni","lengtesc","kankers","spechten","hergroei","ingroei_","id_tabel","vta_datu","wortelsc","stamscha","kroonsch","dichtstb","laatste_","snoeifre","volgende","einddatu","volgende_1","created_","created__1","modified","modified_1","species_raw","city","genus","LCZ_class","OSM_class","x","y"
"32348","Hasselt",NA,NA,NA,NA,NA,"Taxodium distichum","Gras","Goed","risico - opvolgen halfjaarlijks tot jaarlijks",NA,"False","True","Niet vrij uitgroeiende boom","Begeleidingssnoei (B)","False",NA,"6","False","3,6","False",NA,"False","0","Regulier","Cederpark","12/08/2021 0:00:00","0,2","False","False",NA,"False",NA,NA,"0,5",NA,NA,NA,NA,NA,NA,NA,"Begeleidingssnoei","False",NA,"False",NA,NA,NA,NA,NA,NA,"False","False",NA,"False","False","False",NA,NA,"False","False","False","False",NA,NA,"81106","26/11/2021 0:00:00",NA,"Maaischade",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Taxodium distichum","Hasselt","Taxodium","Open urban",NA,216576.838441116,180532.497339382
"32362","Hasselt",NA,NA,NA,NA,NA,"Taxodium distichum","Gras","Redelijk","risico - opvolgen halfjaarlijks tot jaarlijks",NA,"False","True","Niet vrij uitgroeiende boom","Begeleidingssnoei (B)","False",NA,"5,5","False","2,5","False",NA,"False","0","Regulier","Cederpark","12/08/2021 0:00:00","0,2","False","False",NA,"False",NA,NA,"0,47",NA,NA,NA,NA,NA,NA,NA,"Begeleidingssnoei","False",NA,"False",NA,NA,NA,NA,NA,NA,"False","False",NA,"False","False","False",NA,NA,"False","False","False","False",NA,NA,"81120","26/11/2021 0:00:00",NA,"Maaischade",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Taxodium distichum","Hasselt","Taxodium","Open urban",NA,216663.180441117,180510.234339382
"32357","Hasselt",NA,NA,NA,NA,NA,"Taxodium distichum","Gras","Goed","veilig",NA,"False","True","Vormboom","Kandelaberen (F)","False",NA,"5","False","2,8","False",NA,"False","0","Regulier","Cederpark","12/08/2021 0:00:00","0,2","False","False",NA,"False",NA,NA,"0,5",NA,NA,NA,NA,NA,NA,NA,"Kandelaberen","False",NA,"False",NA,NA,NA,NA,NA,NA,"False","False",NA,"False","False","False",NA,NA,"False","False","False","False",NA,NA,"81115","26/11/2021 0:00:00",NA,"Bastschade; Torsiescheur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Taxodium distichum","Hasselt","Taxodium","Open urban",NA,216621.792441117,180534.289339382
"32329","Hasselt",NA,NA,NA,NA,NA,"Taxodium distichum","Gras","Goed","risico - opvolgen halfjaarlijks tot jaarlijks",NA,"False","True","Niet vrij uitgroeiende boom","Begeleidingssnoei (B)","False",NA,"7","False","3,6","False",NA,"False","0","Regulier","Cederpark","12/08/2021 0:00:00","0,3","False","False",NA,"False",NA,NA,"0,79",NA,NA,NA,NA,NA,NA,NA,"Begeleidingssnoei","False",NA,"False",NA,NA,NA,NA,NA,NA,"False","True",NA,"False","False","False",NA,NA,"False","False","False","False",NA,NA,"81086","26/11/2021 0:00:00",NA,"Maaischade",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Taxodium distichum","Hasselt","Taxodium","Open urban",NA,216480.094978368,180535.543700571
"31330","Hasselt",NA,NA,NA,NA,NA,"Salix x sepulcralis 'Chrysocoma'","Gras","Goed","risico - opvolgen halfjaarlijks tot jaarlijks",NA,"False","False","Vormboom","Knotten (F)","False",NA,"5","False","2,6","False",NA,"False","0","Regulier","Vredespark","12/08/2021 0:00:00","0,2","True","False",NA,"False",NA,NA,"0,63",NA,NA,NA,NA,NA,NA,NA,"Knotten","False",NA,"False",NA,NA,NA,NA,NA,NA,"False","False",NA,"False","False","False",NA,NA,"False","False","False","False",NA,NA,"83463","26/11/2021 0:00:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Salix x sepulcralis 'Chrysocoma'","Hasselt","Salix","Open urban","Mixed",217224.287441124,180272.518339372
"32336","Hasselt",NA,NA,NA,NA,NA,"Taxodium distichum","Gras","Goed","risico - opvolgen halfjaarlijks tot jaarlijks",NA,"False","True","Niet vrij uitgroeiende boom","Begeleidingssnoei (B)","False",NA,"7,5","False","5","False",NA,"False","0","Regulier","Cederpark","12/08/2021 0:00:00","0,3","False","False",NA,"False",NA,NA,"0,85",NA,NA,NA,NA,NA,NA,NA,"Begeleidingssnoei","False",NA,"False",NA,NA,NA,NA,NA,NA,"False","False",NA,"False","False","False",NA,NA,"False","False","False","False",NA,NA,"81093","26/11/2021 0:00:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Taxodium distichum","Hasselt","Taxodium","Open urban",NA,216520.545114467,180532.380415046
"32355","Hasselt",NA,NA,NA,NA,NA,"Taxodium distichum","Gras","Goed","risico - opvolgen halfjaarlijks tot jaarlijks",NA,"False","True","Niet vrij uitgroeiende boom","Begeleidingssnoei (B)","False",NA,"5,5","False","3,2","False",NA,"False","0","Regulier","Cederpark","12/08/2021 0:00:00","0,2","False","False",NA,"False",NA,NA,"0,5",NA,NA,NA,NA,NA,NA,NA,"Begeleidingssnoei","False",NA,"False",NA,NA,NA,NA,NA,NA,"False","False",NA,"False","False","False",NA,NA,"False","False","False","False",NA,NA,"81113","26/11/2021 0:00:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Taxodium distichum","Hasselt","Taxodium","Open urban",NA,216621.903441117,180505.627339383
"32375","Hasselt",NA,NA,NA,NA,NA,"Taxodium distichum","Gras","Goed","risico - opvolgen halfjaarlijks tot jaarlijks",NA,"False","True","Niet vrij uitgroeiende boom","Begeleidingssnoei (B)","False",NA,"7","False","3,6","False",NA,"False","0","Regulier","Cederpark","12/08/2021 0:00:00","0,2","False","False",NA,"False",NA,NA,"0,63",NA,NA,NA,NA,NA,NA,NA,"Begeleidingssnoei","False",NA,"False",NA,NA,NA,NA,NA,NA,"False","False",NA,"False","False","False",NA,NA,"False","False","False","False",NA,NA,"81133","26/11/2021 0:00:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Taxodium distichum","Hasselt","Taxodium","Open urban","Low green",216736.983441118,180486.956339381
"32341","Hasselt",NA,NA,NA,NA,NA,"Taxodium distichum","Gras","Goed","risico - opvolgen halfjaarlijks tot jaarlijks",NA,"False","True","Niet vrij uitgroeiende boom","Begeleidingssnoei (B)","False",NA,"6","False","2,5","False",NA,"False","0","Regulier","Cederpark","12/08/2021 0:00:00","0,2","False","False",NA,"False",NA,NA,"0,47",NA,NA,NA,NA,NA,NA,NA,"Begeleidingssnoei","False",NA,"False",NA,NA,NA,NA,NA,NA,"False","False",NA,"False","False","False",NA,NA,"False","False","False","False",NA,NA,"81098","26/11/2021 0:00:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Taxodium distichum","Hasselt","Taxodium","Open urban",NA,216552.117441115,180504.674339381
"34656","Hasselt",NA,NA,NA,NA,NA,"Juglans regia","Gras","Goed","risico - opvolgen halfjaarlijks tot jaarlijks",NA,"False","False","Niet vrij uitgroeiende boom","Begeleidingssnoei (B)","False",NA,"6","False","2,6","False",NA,"False","0","Regulier","Vredespark","12/08/2021 0:00:00","0,1","True","False",NA,"False",NA,NA,"0,28",NA,NA,NA,NA,NA,NA,NA,"Begeleidingssnoei","False",NA,"False",NA,NA,NA,NA,NA,NA,"False","False",NA,"False","False","False",NA,NA,"False","False","False","False",NA,NA,"83402","26/11/2021 0:00:00",NA,"Maaischade",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Juglans regia","Hasselt","Juglans","Open urban",NA,217220.938441124,180227.83033937
